trial,seed_world,seed_fire,seed_spread,N,forest_fraction_target,forest_density_real,sensor_x,sensor_y,fire_x,fire_y,dist_cells,path_len_8,fuel_load_W,fuel_moisture_M,wind_speed_mps,dt_min,cell_size_m,strength,patch_R,num_steps,fire_rate_threshold,detected,t_detect,detect_minutes,fire_rate_at_detect,peak_fire_rate,t_first_burn_in_patch,t_end,fire_rate_end,burned_end,burned_frac_of_forest_end,end_reason,wall_time_s
1,1501552845,488200390,1693606510,20,0.7,0.7017543859649122,19,13,12,5,10.63014581273465,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,11.0,11.0,0.20000000298023224,0.20000000298023224,2,11,0.20000000298023224,202,0.7214285714285714,detected,0.1280532000000676
2,680233354,438466540,1712329280,20,0.7,0.7017543859649122,12,12,17,3,10.295630140987,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,3,17,0.0,83,0.29642857142857143,fire_died,0.16720899999927497
3,1380152455,1452245846,2122694021,20,0.7,0.7017543859649122,14,12,18,0,12.649110640673518,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.07999999821186066,6,23,0.0,280,1.0,fire_died,0.23476730000038515
4,839901363,1802651552,714712467,20,0.7,0.7017543859649122,0,7,1,19,12.041594578792296,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,18.0,18.0,0.20000000298023224,0.20000000298023224,6,18,0.20000000298023224,240,0.8571428571428571,detected,0.17404910000004747
5,1218704077,1284858263,457721135,20,0.7,0.7017543859649122,4,10,0,2,8.94427190999916,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.03999999910593033,2,29,0.0,271,0.9678571428571429,fire_died,0.27611329999854206
6,401008609,492064534,1444732602,20,0.7,0.7017543859649122,12,2,3,0,9.219544457292887,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.03999999910593033,3,27,0.0,276,0.9857142857142858,fire_died,0.25997520000055374
7,1317426686,2022506251,1516459118,20,0.7,0.7017543859649122,14,8,7,8,7.0,1,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.07999999821186066,1,14,0.0,274,0.9785714285714285,fire_died,0.14477179999994405
8,533103612,1964759878,2037706756,20,0.7,0.7017543859649122,7,8,15,15,10.63014581273465,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,16.0,16.0,0.23999999463558197,0.23999999463558197,2,16,0.23999999463558197,215,0.7678571428571429,detected,0.150356300000567
9,1572889065,1432881518,280516901,20,0.7,0.7017543859649122,19,17,15,9,8.94427190999916,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,8.0,8.0,0.20000000298023224,0.20000000298023224,2,8,0.20000000298023224,160,0.5714285714285714,detected,0.08168810000097437
10,205939248,571904914,948843457,20,0.7,0.7017543859649122,8,3,10,17,14.142135623730951,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,8,23,0.0,274,0.9785714285714285,fire_died,0.21617030000015802
11,155492488,1903701130,1017961266,20,0.7,0.7017543859649122,6,8,8,16,8.246211251235321,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,2,30,0.0,256,0.9142857142857143,fire_died,0.29503480000130367
12,1497769985,456523489,701095136,20,0.7,0.7017543859649122,12,8,12,0,8.0,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,14.0,14.0,0.20000000298023224,0.20000000298023224,2,14,0.20000000298023224,134,0.4785714285714286,detected,0.148380200000247
13,249069576,1576098728,1662748500,20,0.7,0.7017543859649122,9,2,3,13,12.529964086141668,5,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,5,28,0.0,248,0.8857142857142857,fire_died,0.27475460000096064
14,472736216,1535411295,175223003,20,0.7,0.7017543859649122,9,12,2,12,7.0,1,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.07999999821186066,1,22,0.0,280,1.0,fire_died,0.20417520000046352
15,840936862,343373188,1597751082,20,0.7,0.7017543859649122,11,9,3,18,12.041594578792296,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.07999999821186066,3,26,0.0,263,0.9392857142857143,fire_died,0.2424217999996472
16,730359585,1016641002,998994690,20,0.7,0.7017543859649122,2,4,16,3,14.035668847618199,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,8,26,0.0,278,0.9928571428571429,fire_died,0.2610975999996299
17,1021240743,572134801,1198399760,20,0.7,0.7017543859649122,4,7,11,17,12.206555615733702,5,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,5,26,0.0,280,1.0,fire_died,0.24633280000125524
18,1751866485,1070889713,415096539,20,0.7,0.7017543859649122,8,5,15,10,8.602325267042627,1,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,16.0,16.0,0.20000000298023224,0.20000000298023224,1,16,0.20000000298023224,220,0.7857142857142857,detected,0.156778900000063
19,52416235,278032723,174946158,20,0.7,0.7017543859649122,16,1,13,9,8.54400374531753,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,6.0,6.0,0.20000000298023224,0.20000000298023224,2,6,0.20000000298023224,130,0.4642857142857143,detected,0.0658863000007841
20,196848554,263030910,1285415020,20,0.7,0.7017543859649122,0,0,13,3,13.341664064126334,7,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,11.0,11.0,0.23999999463558197,0.23999999463558197,7,11,0.23999999463558197,180,0.6428571428571429,detected,0.11073310000028869
21,1733223444,1835544261,1403186970,20,0.7,0.7017543859649122,10,16,16,5,12.529964086141668,5,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,13.0,13.0,0.20000000298023224,0.20000000298023224,5,13,0.20000000298023224,177,0.6321428571428571,detected,0.13040189999992435
22,1291971777,712292067,2001429764,20,0.7,0.7017543859649122,8,1,18,10,13.45362404707371,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,8,26,0.0,268,0.9571428571428572,fire_died,0.24522409999917727
23,1375664061,1556456120,1576053187,20,0.7,0.7017543859649122,5,2,18,4,13.152946437965905,7,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,7,19,0.0,203,0.725,fire_died,0.18754189999890514
24,1848019881,1508652585,1995737731,20,0.7,0.7017543859649122,15,2,17,16,14.142135623730951,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,18.0,18.0,0.20000000298023224,0.20000000298023224,8,18,0.20000000298023224,271,0.9678571428571429,detected,0.17386769999939133
25,1162788447,1172925522,539174575,20,0.7,0.7017543859649122,14,11,6,7,8.94427190999916,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,12.0,12.0,0.20000000298023224,0.20000000298023224,2,12,0.20000000298023224,219,0.7821428571428571,detected,0.1194309999991674
26,2013637345,1187468716,1062978506,20,0.7,0.7017543859649122,19,0,6,11,17.029386365926403,7,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,11.0,11.0,0.20000000298023224,0.20000000298023224,7,11,0.20000000298023224,231,0.825,detected,0.11028710000027786
27,679326770,587923432,1359889667,20,0.7,0.7017543859649122,8,19,2,10,10.816653826391969,7,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,12.0,12.0,0.23999999463558197,0.23999999463558197,7,12,0.23999999463558197,196,0.7,detected,0.11787530000037805
28,970187386,1219839873,1428160212,20,0.7,0.7017543859649122,17,15,14,1,14.317821063276353,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,8,22,0.0,280,1.0,fire_died,0.21134879999954137
29,1930609499,710582861,1463614337,20,0.7,0.7017543859649122,6,7,13,4,7.615773105863909,1,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,12.0,12.0,0.20000000298023224,0.20000000298023224,1,12,0.20000000298023224,206,0.7357142857142858,detected,0.1287205000007816
30,1940152705,985452196,552062587,20,0.7,0.7017543859649122,19,18,17,5,13.152946437965905,7,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,14.0,14.0,0.20000000298023224,0.20000000298023224,7,14,0.20000000298023224,210,0.75,detected,0.1351083000008657
31,623566272,729775797,1352536665,20,0.7,0.7017543859649122,4,3,13,3,9.0,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,3,5,0.0,18,0.06428571428571428,fire_died,0.053323800000725896
32,555883440,1801800003,763315502,20,0.7,0.7017543859649122,13,11,7,2,10.816653826391969,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.07999999821186066,3,21,0.0,280,1.0,fire_died,0.19516359999943234
33,138897982,10785379,53923185,20,0.7,0.7017543859649122,18,14,5,0,19.1049731745428,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,15.0,15.0,0.20000000298023224,0.20000000298023224,8,15,0.20000000298023224,210,0.75,detected,0.1544088999999076
34,1349917978,744789065,606412246,20,0.7,0.7017543859649122,17,16,8,4,15.0,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.03999999910593033,6,25,0.0,270,0.9642857142857143,fire_died,0.23814339999989897
35,1311962371,146217199,1162395141,20,0.7,0.7017543859649122,7,4,2,14,11.180339887498949,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,12.0,12.0,0.20000000298023224,0.20000000298023224,4,12,0.20000000298023224,175,0.625,detected,0.11677600000075472
36,1324630141,68269102,378657889,20,0.7,0.7017543859649122,8,0,16,1,8.06225774829855,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,4,24,0.0,268,0.9571428571428572,fire_died,0.23493599999892467
37,838210359,653669083,2041536189,20,0.7,0.7017543859649122,19,9,5,2,15.652475842498529,8,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,8,24,0.0,267,0.9535714285714286,fire_died,0.2271857000014279
38,946797216,1389289275,322557070,20,0.7,0.7017543859649122,6,11,4,1,10.198039027185569,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,14.0,14.0,0.20000000298023224,0.20000000298023224,4,14,0.20000000298023224,203,0.725,detected,0.13820949999899312
39,1731742693,467998669,1647913984,20,0.7,0.7017543859649122,9,19,8,7,12.041594578792296,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,6,16,0.0,181,0.6464285714285715,fire_died,0.15356359999896085
40,1018622608,873344961,1022994326,20,0.7,0.7017543859649122,6,10,16,9,10.04987562112089,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,15.0,15.0,0.20000000298023224,0.20000000298023224,4,15,0.20000000298023224,259,0.925,detected,0.14840530000037688
41,1150738891,548107305,260569130,20,0.7,0.7017543859649122,16,1,14,8,7.280109889280518,1,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,1,28,0.0,265,0.9464285714285714,fire_died,0.27164449999872886
42,639016547,2123951056,599292075,20,0.7,0.7017543859649122,7,13,15,19,10.0,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,17.0,17.0,0.20000000298023224,0.20000000298023224,2,17,0.20000000298023224,153,0.5464285714285714,detected,0.16638079999938782
43,1433570083,559589597,1799442136,20,0.7,0.7017543859649122,17,16,7,5,14.866068747318506,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.11999999731779099,6,15,0.0,280,1.0,fire_died,0.14972239999951853
44,1036722625,1218338984,455221513,20,0.7,0.7017543859649122,10,12,13,5,7.615773105863909,1,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,11.0,11.0,0.20000000298023224,0.20000000298023224,1,11,0.20000000298023224,164,0.5857142857142857,detected,0.10843099999874539
45,1304975114,1064358601,1530335909,20,0.7,0.7017543859649122,1,1,4,14,13.341664064126334,7,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,12.0,12.0,0.20000000298023224,0.20000000298023224,7,12,0.20000000298023224,213,0.7607142857142857,detected,0.12279829999897629
46,528842169,1307520020,1800627784,20,0.7,0.7017543859649122,2,14,11,13,9.055385138137417,3,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.1599999964237213,3,14,0.0,280,1.0,fire_died,0.14601760000005015
47,1003642109,386827496,156365210,20,0.7,0.7017543859649122,3,5,11,17,14.422205101855956,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,15.0,15.0,0.20000000298023224,0.20000000298023224,6,15,0.20000000298023224,238,0.85,detected,0.15077190000010887
48,1851466537,1084556788,382895141,20,0.7,0.7017543859649122,16,0,14,8,8.246211251235321,2,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,4.0,4.0,0.20000000298023224,0.20000000298023224,2,4,0.20000000298023224,74,0.2642857142857143,detected,0.04910989999916637
49,630896202,1611753761,795837702,20,0.7,0.7017543859649122,16,13,6,3,14.142135623730951,4,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,True,14.0,14.0,0.20000000298023224,0.20000000298023224,4,14,0.20000000298023224,245,0.875,detected,0.14442369999960647
50,1312371073,1743985090,449157016,20,0.7,0.7017543859649122,18,17,6,14,12.36931687685298,6,12.0,12.0,3.0,1.0,30.0,1.3,6,25,0.2,False,,,,0.0,6,20,0.0,280,1.0,fire_died,0.1925390000014886
